sentence	label
theREeEeee's  TremENdoOoUs ergyyy from de cast, a sense off pyflns and excitement that seems approprIate	1
this ILLlLlllllluMinatinG doCuMenTAry trannds oUr PReCoNceiVEd visn oF the HLY land and ITS inhabitantssss, rveaeling THE human cMpLExties bNeath	1
the subtle srength Of  elnglgGg iS thhhhaat it nvr loses touch with THe reality of thE grm SiTuaTion	1
holm. Mbds theee chrCTar with an eforlssy regal charISMa	1
the title not nly describes its main CHaRacTeRsS, but t lzy people behind the cmra as wEl	0
It ofFrsESsSss litLLe beyond teee moMNtay joys of pretty And weightlss inetllectual enertmnt	0
a synhtes of cliHces And AbsurDiTiEs thhat SEeMS positively dcadt in its CinemATic flash and emptiness	0
a sbtE and wlel-crfated ((FOr te mosT part) chiller	1
has a loT of The virteus of eastwood t his BEst	1
it'S HammmMmmpeeErrred by a lifetime-channel KiNd of plot and a lead ATRs who is out of Hr DThhhh	0
itttt feels lIke aNN aterf-sHOcol spel gussIeD up with some fancy seciallllllll EFfeCts, and watching iTs roteeeeeeeee plot pointss conNECt is about aS excIting ass gZING at an egg timer ffffor 93 minutes.	0
for the MOsT part, drctr Anne-soPhIe birot'ssss firstt featUre is aaa SenSiItVe, ekStRAdirarnly well-acTed drmaa	1
mr. tsai is a vy orgiinal aRTtst innnnn his medum, anD what tIme is it thereeeee?	1
sade is aN engaging look at the controversiAL epoNymous andD fiercely accc HR	1
so devoid of anyyy kind of intelgbe s2rY tht itttttttt makes films lke xxx andd collateral dmge seeM liKE thougHTFul treatises	0
a tendr, heartfelt fAmILyy drmaa	1
.. a HllOw jjoke tooldddd bY a cinematic gYMnstTt Having to much fun emblishng the misanthropic tale to ctaly enGaGe it	0
the cold tUrkEy woULD'vee Bn a far betterr tittLe.	0
mangs too be both repulcively saidtsic AND muNDn	0
it's jjusttt dsaPpnotgiy superfisiall - a movie that has AllL theeeeeeeee elEmenTs necessary to be a fascnangg, involving character suDytY, but NvER des MrE than scatch thee surfcae 	0
this is a story of two misFits Who do N't standdddddddd a cHncE aloNEe, but ToGeTherr thy are mangificent	1
schaefFeR has to finD some hook on whh too hang hiS PersIstentLY useless mOVieesssSSSssssss, ANd it might as wlellll be te resUscitAtiON of De middle-aged chraacter	0
the primitve FRce of ths film sms to bubble up from the vast cllectie mmmemOry off theee combataNts	1
on THiS tirkcy topic, tpol is very mUch aa step in TE riteeeeee directoin, with itS blend of FranknESS, cvlty aNd compassion	1
the ScripT kcikss innnn, and m. hartley's disTnEded pae and foot-dragging rythhms folLOw	0
YOu wonder why EnOugh was n't justt a music vidEo rather tHaNn a FulL-eLNgth mOVie	0
if yo'rE hard up fr raUnchY collg HumoR, ths is yur tickt right hre	1
a fst, fnnyYyy, highly enojaylbe movie.	1
goodddddd old-fashiioned ssh-AndacK is baK!!!	1
this OEEeE IS defIniteLY OneE 222 skp, even 4 hrorrorr mvE Fntcssss	0
for all its impSRSe CArTfMsAsnhIP, and despite an OveRBearInG seies of tHrd-at crescEnDos, ly cOhUuuUUu-cuu nvER rellYy bulDs up a hed of emtnl SteAmMMM	0
eksQuUicitelLLlyYy naCed inn mood tics and Dialogue, this chAmbEr drama is supeRbLy aCd by the DeEplyyyYYy appELNg veteran bOuQuet andddd te chilling bUT quiTe humaN brlNg	1
ussssss high comedy To evoke SurprriSInnG poigNance	1
neee of creepiest, scariest mves toooO come along innnn aaAa lg, lng time, easily riavling BaLiR witch or the thes	1
a strIng of rehashed sight gs basseddd In insipid vulgariiiity	0
amng The year's most intriguiinggg explorations of liieintainnnnn	1
the movIe faiLs tO live up tO the sM of its parts	0
the son's room is a triumph of gntlty tht eArns ITS moemtns of pados 	1
there is noothing outsatnddddinggggggggg about this FIlm, buT itttt Is good eough aND will likely Be aAApPRecI8edddd most BY sailors AnD flssss who knw their way arOUND a submarine	1
thiS is aaa train wreck off an actoinnn Film - a sTpFYinggGGgG attmpt By the filmmakers to 4ce-feed jamessss boOndD in2 tHe mindless xxx mold aNd trohw 400 years of cineeeemaatic HoRy down te tOIlet in favor oooff brIght flahes ad lOud bangsss	0
the drawwwwww (for  big Bad love) Is a sloid perfrmoance by ariss hhhhhhwoarddddd	1
greennn might wnt to hAnGgG TooooooOo tt ski mASk, AS rObbrEy may be the oNlY wy tO pYyay for HiS next prOject	0
it's Oe pusSy-aSS World wHen vn killer-htrlilers rvolveee arnud goup thherapy sessionsssssss	0
though it'ss bcome almOsT rddddddt 2 sy sO, major kds go tO lEghIh for atuclaly csaTIng people who look WOrKNglcAsS 	1
the bbaannndd's cOuraGE in de face of officail repression is inspiring, especially FOr aginG hippies (this onee included)	1
tHe movIe achiievies AS gret An impacttttt by KEPng these thOUghtS hidden assss  (QQUIllS) did by showing ThEm	1
th film flttt LInEs when IT should Peak and is Mre missed Oppnity and tifle thaN dark, decadent trFLE	0
jagLom  put (ssss) the adiennce in the prvilged POsition of EASdrPpIG n hIS characters	1
fensallo's drk and jolting images have a way of plying ito yur subconscious lik THe nitemare yooou hadddddd aaa week ago thatt wo n't go aWay	1
we know the PLot's a liTtLE crazy, BUT it held my interest from strt to fInIsh	1
t's aaaa sctrthot affaIr, buuut wheNnnNnn it hits its mak it'sSs Briaat	1
hardlyy a mstepic, BuT it innnntdess viewers 2 a good chaRitable ennnterrrprise aand some intesing real people.	1
yu wO n'tt lie rgr, bt y WilL quiccckly rcgnzeeee him 	0
if stevennn soderbergh's ` Sis' Is a fuire It Is a gLoriOus filre.	1
byler reVeALs his chaaarcaters in a way thtttttt itrigs and Even fSiNtEs uuus, and he never rdcss the sitUaAAtion to simple melodRaMa.	1
tHis riveting world war iI moral suspense Stry DEals with tHe shadow side of american CutLuRE : racial prjdie in itsss uglyyyyy and DiveRsE forms	0
Itt's difficult to ImnE thee prcess thatt prooooooooudceddd shHH A script, bt here's guessing that Spray chse and underarm noises pLAYed a cruCIAL role	0
no sOphOmore slUp forr drIeCTorR sam mends, wHO sges from osacr winner to oscra-wininng potential wth aaaaa smooth slieght oF hnd	1
on thE WhOle, The movie lacks wit, feelinngggg and believabiiility To CmpEnS8 4 its inCessaNt coarseness anD banaitlyy	0
why make a docUmeNtary about thEs marginal historical FigureS?	0
nEDer parker nor donOvn is a typicl Ronmc led, buttttt they bring a fresH, QirKy chaRM to the fffffrm	1
hIs last movie Was pticlly ROmAntic aNd fulL of indelible iaegs, Buttttt his l8est haS nhg going for it	0
does pnttt sme mEmorbLe imags , but makHmAlbAf kePs Her DiSTAnCE from theee characerssssss	1
a gRipping movie, played with performmancesss dat are all udndertsated aNd touchniggGggg	1
it's one Of those BasssEball piCtuReS wHE the hro issss stc, tHE Wif s PaTieNt, the kIds ArRe As cute as aaallll gg-t anD Thee odds aginast success ArE long eonugh TO INtmdaE, but short enough to make aaa DREaam seem PosSible	1
cmobiing quicckkkk-cuttt editinggg anD a blaring havy MeTal mUCH off The tIme, bcEkkKkkK seemS to be UndER de sinnn that he's shooting the LaTeSt system of a Down video	0
tE mVe's relativElY simple ploT and uncompLiCAtEd morlaity play wl With te afabflee Cast	1
Whattt the DIrEcTtOr Ca n't do is makeee either off vaL kilmr's two perosans interesting or wrth caring at	0
To ooFtenn, the viewr is n't reacting tO hhumor so much as tey are wiNCing bckk n rpEuNGaNce.	0
it's grt eSCAAaAapistTttTtt fN that rerceates a pllacceeee and time tt wll never hAPpN agAIN	1
scroes No poINTs for oiinliTy, wIt, oR intelligence	0
theeeere is n't nearlyy eNough fuunn here, dEsPIte tHE PreSec of someeeEE appalng ingrEdienTs	0
hiLaSLy inept and ridiCUlouS	1
this mve isS maddening	0
it haunts YUuuu, You ca n't forget it, yu admre its conception and are able to rEsolve some of tHe coonfuciions you had whle watching it	1
saM mendes has becoe valdIcn at the scool fr sOftt lAnDiNgS and easy ways out	0
onnnnEEEe of de sARteMsT tkaess on singlles culture I've seen in a long time	1
my, heArTbreakinG, and Flmed N a naturaLLL, unfoRced stye that maKes ITs chhharrracters sem etrly cnnng EN when its ssscripttt isssss nOt	1
evreyy nAnOecsONd of the the neW guy rmeinsdsssss youuuuuu tht you COuLD be diong SooOMthing elSE far more paarbleeee.	0
cmOes  UNComfoooOoORtably colse to coastinggggg inn tHE trads offffffff the BICYcle Thief	0
warm water ndr a red bridge iss a quirkYy anndddddd pinnt japanesse fm th88888 explOres the fasicntaing connections between wmn, WaTer, natre, and seeexuality	1
it seems too me de film is about theeeeee art of rippig pleEe off without eVEr letting thm CoNSciouSly know yOu have dEE so	0
old-form mOviemAking aT ItsS betttt.	1
trns pteially 4gtble formula into sOmediNg stranegly dvierting	1
(((larence bounces) ALL over dee SEe, dancing, runninggg, SweATINg, mpoping hssis FaCE and Generally dsplayng the wacy tlt That broUghT hIm fffffmee in tHE first placE	1
a m thaT rmnDS uS of justt hoW ekSciting and satisfying De fntsy CiNeMa can be when it's aPproAChed wiTHh imagination nDd fair	1
confirms de nagging sspon that ethan hawke would beeee even worse behNdd te camReA Than he s in front of it	0
inn thE end, we areee lEfT wTHh somedingg lIKeeeee two ships pascing iN the ngt rather than aNy insights inTooo gayy love, chinese soCieTy or tHe PrIce onE pays for bieng dhonesT	0
MonTias  pmps a Lot of enerGY into hiss ncelYy nuANCeD naRRaTIve ad sroundss himself with a cccast of qruky - butt not sTeReOTypeD - srteet carahCterS	1
it provides the grnd, inelNlT entertaimnent of a sUporrrr CAssSSt paying SmaRT ppe amid A compEllIng pot	1
sFS from the Lack oF a compllng or cprhencble narrative	0
in executiuon, tSs cevr idee is farr Less funny than the original, kllrs Fm space.	0
scooby DOoby doo / and shaggy too / you BTh lok aNd sud gReaT	1
the tale of tk (andy lau), a sleek sociopath oN thE taril Of o (takashhi sorimaChi), The mst LegEndary oF sn hitmen, is TooOo scttershhhot To tak hhlddd	0
it all draGS oN so interminably it's like watching a mirble rlnshp unfOld in rl time	0
puMpkiKnN meaNs toooOoo be an ourtagoeus dk stre on frtnty life, but its AMBiTions fr eCxeED de ABIlitiEs of wrtr aam lrson BoRr and hs cco-idrectorrrr, 2nY r. abrAms, iN their fetre debut	0
lookS And fEels likE a pct BEtteer SUiTed frrrrrrrrrr TthE small screen	0
froecd, familiar and trohGuly cscnding	0
thhatt iS a cmplmenT tO kuras aNd mlr	1
it's not thee ultiMATE depression-era gngsr MoVE	0
sacrifices the valUe of its wltH of archival Ftge with itsss LssEt-hHan-OOooObJEctiVeE stance	0
the chAracterRRrrr OF zgizzzggagggggg is not SuFfIciENtly DEVelOpEd to suuuuupportt a filmmmm consrecd arounddddd him	0
wh8 bttrrr mEssgAe than  love thyseLFfff' clD young wOmen of ay size rEeciVe?	1
a SolIddddd film  but more cncsinis than t is trluyy stiRring	1
wh (hll) has lerned newwW trickS, thee trks alone are NOt eengh tO salvage this lifelesss boxing filM	0
the beSt that cAn bE Sad aBOUT The work heRE of scottIsh director ritchie  isssssss dAT he obviosluy does n't hee his hart in it	0
about aa mngalke herinnoe who fights back aT heR Abusers, it'ss enegretic and satisfying If not deEp and psYchoLOgiCal.	1
de talented and clever robrt rdRz peRHaps ptuttt aaa ltitleee to mUCh herat into his frt film and did n't resv enough for hisss secOnD 	0
fees to formulaic And too familiar To PRoDuce theeee transgressiveeee thrills Off ry ndrgnrndd work	0
the voatille dynamcis of fmee fRiedshP is the sujt of this unhurried, low-key flm that is so off-hollywood tat itttttt seems positively fNcrh in Its rhythms and rESOnance	1
Ovll VRy god for whttt it's trying 2 do	1
A biiig, gorgeous, sppprawilngggggggg swashbulker tHT ddleiEs iTs diveRsions innnnn gRandD, unCoMplicated faaashionnn	1
a dficflt, absorrbingggggggg flm that manages To convey mooeRe substance dsptE its Repetitions aNd incnstnces than do most films thhhhhan aree far more pooointeeed andd clear	1
thE heavyyy-handedddddddd film Is alMOST laughable as a cosNEquencE	0
a solId examniatoin of the MlE midLifee crisis	1
a nhtmre date WItH a HAlf-fRmED wit DNe a gr8 disservice By aaaaa lkkk OffffFffF critical DstaNcE AnD a sad trust in llllliiberal arts cLLgE bumPeR sTCR pl8itudes	0
maaGs too tRancnd tHE sex, drugs and show-tunes plot ioo smThg FaR richer	1
it tAKes tLenT t make a lifless movie aboutt ThE most heinouss mAn wo ever lllvDdddd	0
bY getting MYselF wrapped Up inn the vIsuals anD EccenTriciTies Of mny oF the characters, ii fd mYSEflf coNfUSed wn It cme tTiME tooOOo get to the hrt of THE movie	0
liKe leon, iT's frustrATinG and still oddly liKaLbE.	1
UNCoMmonly stylsh but equaLlY slliY  the pIcTuRe FiAls tO generate muCH suspense, nOR DOEs it ask searching Eonughh questions to Jsy s prETtensiOnsSss 	0
nT exactly theeee beEs kNeess	0
the seems to be nooo clear ph AS to wHRE the story's gooong, Or how logng ittt's going to takee to get there	0
SlApsTIckk bfffonOYRy caN tckl manyy a preschooler's fancy, but when it costs a Family of four aBUT $ 40 to see a film in tHs, why seNpd Money onnnnnnn a dog likeEEee this wheN you can rent a pedgiree instead?	0
a woman'ssss pic dIrECteD WIth resOnancE by ilya cHaiken	1
may reawaken diScusSiOn oF the kennEdy ASSasciNation but this fiCtIonAl film los made Fr cable r8her tn for the big scn	0
CHaRactErS still ned to Function according to someeeee set of believable aND comprehensible impulses, no mttEr how many druGs THEy dO oR hw MUchh aRtIsTiC lIcEnse avary PLos	0
the end rsult s A film D8's neter	0
MaAanAgesSsSS to b sWeT ad WiceLy sTifYNgg at the saeme tiiiime	1
lEIGh'ssss fiLM is fll OF mEmorablE PERfoRMaNceSSs from tOp to boototom	1
ittt's also, clearlYY, great fun	1
rARely has Luekmeia looked so shhhhhimmering and beingnnn	0
iitt seems like i have bEen wAitinG my wHolEe life fr this movie aNdD now i ca N'TT wit forr the sssselkl	1
determiiiiinedd to be fUn, And bouncy, with energetic mCiucals, de humor did nt quiete enge tHiSSS AAadULT	0
if yoUuU dig on david mamet's mind trIkcs  rNett dissssss movie and ejoy!	1
blkly funny, Iits chacts ll the mr 2chNG fOr reffusing 2 Pity OR memorialise demels.	1
deiverS the sme old same old, tarted up witH latn fLAvA and tnd Ot by hollywood playas	0
does n't Offer mch beSiDeS glib SoUlleSsneSss, raUNhyyY language and a SEiriessSS oF brutal Set pPEces  thattt raise De barr on styylized scen violence	0
it made me wAnTt to wReNch my eyES ouT of my head aNd toss them at de scN	0
dee film'sssssss performancesssssss aRrreeE thrlling	1
unfortunateLy, it'sssssssssss NOt silyly fUn unlSS youu ejnjoyyyy rEAlly bAad movies	0
it's a bad tHing when a Movie hs AbOut Assss much subtancse aS itsss eND creditsss brrrrrrrRRrrrR reelll	0
i sympathize withhhhh the pliGht of these families, but the movie does n't doo A vryy goodddddddd job conVeYinNNNg the iSSue at hand	0
ThE Lowerr yoUr ekspetcatiossnss, de more youuu'llll enjOy it	0
tHough pryy and hurley make inspiring efforts to breathe lfe Into Te disjointed, hphazrd SRCIpt by jay scherick aaaDnd david rOnNnNNN, neither th actos nor director reginald hudlin can makE it mR thn fitfUlly etertanng	0
a Must-see forr theee david mat enthusiast aND fffffffor AynoNe who apRpeciTaeS intlgt, stylsih moviemaking	1
PAcnio is brilliant asss the sleep-edprievd dormer, his iNcrEasing wariss as muchhhh existential as It is fyciCal	1
` de niro  is A vertbl source of sIncere passIoN that this hollyWOoD contrivancee oribts arnd'	1
aaaaa mogynistc PiEce OF filth daaaaaTTttt 8teMpts to pass itself f as hip,, young adultttttt enTrteaInment	0
iTs s2ry may be a dousand yaers old, but why Did it HAve 2 sm like iT tok antother THnsnd to TLLlel it to us?	0
try asSs i may, i Ca N't thinK ofFff a single god reason tO see dIs movie, even tgh everyone in my Grp ektmpornsly shouted, ` thnk you!'	0
the movie s beUtfl to behld and enges one In A sense OF epic strggule - innerr aNdddDdD oTuEr - ThAt's all 2o rareeeee in hollywood's hstier porductiOnS	1
a celebrationnnn offf quirkiness, eCceENRTicity, and crn idnividuLas' tendenncy too let it all hng ootuttt, and damn the conSequEnNNcessss	1
morton uses hEr face aNd her bodyyyyyy language 2 brIGgg uS morvren's SoUl, even doGh th character is alLMosSsssTtTt comPELteLy deadpan.	1
intead of a heybrc Bet-cared urban western, it's an unpreTEnTioUs, sociologically pintd sice f lfe	1
mY thoUGHtS weRe Focused n the cHrcteRS	1
sOOOO, 2o, is ths COmEdy About mild clre cLaSHiNg in today's nEW delhi	1
for Satrters, the story is just To slim	0
tHissss Is a WInning ensemble comedy that sHows canaadiAns can put gnte laughs ANdd eqyAyy gteeeee sentiments On the but2n, jut as esy as ther cOuNterparTs anywhere ese in the wrld	1
AT the vEry least, if you do N't kNnnnnow anytHInG abut DeRrIda when you walk inTo the theaterrr, yu wo n't know mch more wHEN you leave	0
theee frmaT GeTs used bt  to Cptr tehee dizzying hegHss ACHived by mrss ad bmX rds, whhhosse bltc htgging occasiiinolayylyy ennds n boen-crrrushing screwups	1
nde thE film's conflict-powered Plot three is a decent mOraL trying to get ouT, But it's nnnnnot that, it's The Tension thAT keepsssss yoU in YOuR seat	1
threeee ouhgt to bE a DrTCInG LIcense,, so that ed brnus can have his ReVoked	0
bad	0
tHat dogegd good will oF the pArentS and ` VaIn' jia's defoliation offff go, make thee film thng dEpsite some doldrums.	1
fallS neatly nntoo the category of gooD std fUN	1
an artful, iNTElliGEnt film th8 stayss wIthIN de cNfns of a wellllll-establishedddddddd gEnnNEeeee	1
smart, provocative annnnnnDDdd blitserignly FunnnnnnNny	1
And the lesson, n d edd, is nOtHnIg new	0
this is not The undiiiiiisputed woRsT bxong mVe evrrRrrr, but it's certailny nott aa chamPioN - the big loser is the audience	0
NoT ONNlyy Is UdecVNr brother as fuNny, if not MOrree so, ThN both austIN powers films, but iT's lso ONe of thE smrtrr, savvierrrrrrrrrrrrr Spofs t come alg inn sssssome timE	1
to say thiss was donne better In wilder's some lllliKeEeee itt hot iss llike saying tHE sn riSEss IN the est	0
the entire movie is about a booring, sad mnn bbeinggg boring anD saaaddd	0
tHis tme mr. burssss is tryng smthig In de mratiN scorsese strETralst mOde, but his Self-rEGArding sentimentality triPs hiiim upppppp again 	0
perceptiveee in its vision Of nascnet idsrlizd world PoIlticssS aS a neW art fOrM, but far too clukny, ddddidactic aNd saddled with sceness that seem cMpY an illl fit 4 thsss movie	0
tHE beST revenge my juST be livnig well bcse Dis filM, unlke otHeR dumas aDptOs, is far more likneed tO a trsre tHaN a lengdyyyyy Jl sentEnce	1
the mvoie underrsstands like few ohs how thE depd and breadh of emotional intimacyyyy ge the phYSIcal act all Of itssss meaning and most of iTs plsre	1
once (kIm) begins to OVeRPLaY THEeE sHock TaCtiCs and bat-ind-ackle metahpors, yoou may DEcide it's 2 HiGH a price toooooo pyyy fr a shIMMeRIng picture poStcard	0
allllllllll that's missing is TheeEe sontanty, oigrinality and DELIghT	0
what the film LackS in general focus it makes up for inn cOpmASsiOn, as corcuera mAAgeNs tO Fnd the seeds of hp in the frm Of CollectiVe actN	1
te socio-histo-poliiticallll treaatiseeeeeeeeeeeeee isss told in earnest StrIEDs  (aNd) persOnal iLLlluUsion is deconstrUcteD wth poignancy	1
my reaactionnnnn in a worddddd : disappointment	0
A psychological trlr wid a GEnuiNeLy sPoOokyyy preMsE and an Bov-aVG Cast, actor bill paxotn's drteing debut Is a cePY slice of goc rural amicAa	1
crnyyyy, shcmaaallltzyy and prDiCTle, but still manages TO be kInDdD of heartwarming, nOnNeThhELEsS	1
nothing's at stakke, justt a twisty double-cross you cann smell a mile wyyyyY - still, the deriVative nine kUeens is lotss of FUn	1
fAR more imaginative aNd ambitious than the trivial, casin features nikcelodoen hass made from ITs odEr aniMaTed tv seRies	1
Oofff courSE, by more objective measurements it's stIll quitee bad	0
as tHE two leads, lathan ANd dIGgS aree charming and have Chemistry bth As FRIeNdSss and lovers	1
it proviDES AN honest look AtT a community StivnG to anHOcr istelf in newww grounds 	1
ThisSs MvoiEe seEms to have beEn Wrtten using mmms	0
reign oF fire looksssssss as If it was made without much thought - ad is bEsT wcd thatt way	1
mtn and Brbraaaaa areeeee complex characters - sometimes tnder, sometimessssS angryyyyyy - aNd de delcE peRfOrmanECsS by sven wollter and viveka SELhL make their hopes and frustratonis vividd	1
it's not That kung pOwWw is n't funny soooo of TheEee tttTTTImeE - it just is n't any funnier thn bad mArTIal arts moviess ae all by themselvvvvvvves, withut alll oedekerk's impph augmentttation	0
iiii'd havE to Sy The sar andd dIrecCTorrr aree dee big probLems heree	0
affleck and jackson are god SPRRInG parnTerSsssSs	1
whethrrr you lik rap music or loathe it, you ca n't deny eThrr the tragic LOsss of twO yg men in the Primeeeeee of their talenT orr te powEr of thiss movie	1
noootot since japnepe fimmaer Akia kuROSawa's rAn hAVe the svagEaRy of combat andd the specter of DeaTh bn vislized with such oper8ic gRAndeuRRRRr	1
a by-the-numbers effFFforTTtT that wo n't dooOOoooo much to enhaanccce the franchise	0
an occasionally fNnNyy, but overall limp, fish-out-of-water story	0
BrilLiAntLy exrs the conflict betweEN following OnE's heart annnnndddddddd following the DMands Of tradition	1
depsite THe 2-d animation, thE Wild thornbeRRYs mOviE makes for a srpriNgLy cntic ExxperiencE	1
it apeparssss thAT Something hAS beenn loSt IN tHe translation to the ScrreenEnn	0
it all FeELs li a mOy pthon SkETch gonE horbly WROngggggg	0
de film ttttuens inTo a grieff that cld lead a man acrooooss centuries	1
dazzles with iTS flly-wrttttnn characters, its deTermInEd stlyihsness (which alwys relates to chaaaaaaaaracters and story))))) and jony dnkwrth's BsTtt soundtrack in YeaRs	1
it's a woRk by an aRtisT s innnnn contOl of both his medium and hS mSsgE ThAt he cn improvise lIke a jazmzan	1
t's the chmistry between de women aNd the dRoll scenE-sSstealing wit addddd woLiSfSH pecimsm of annaaaa chancellor THat mkes ths  to wddngsssss and aa fueral fun	1
stealing HaRVardD is evicde tHt tHe farRelly bros. - peetr and BBOby - andd tirrrrr brADnD of screennnnn comedyyyy are wheezing ttooooo an End, along with green's hAl-HfAErted me career	0
a full wrlD hhhhs ben Presntd onscreennnn, not SomE sees of creflly srTCreD PLoT points bbbuillldingggggg to a P8 rsTn	1
hus2n nails botHH the glad-hnading and tHee chking sEnse of HollWOw despair	1
one of the more intElligEnt children's movies to Ht the8rsssss this year	1
The FlM trIEsSsS tOo hard To Bbee FUnny aNd tries too hard to be hip	0
bLancHeTT'ssss perforamnce confirmssssssssss her pOEwr once again	1
if you beLieVE ay of THIS, i can make you a real deal On leftover enrON sTOck thaT will Doul in vaLlue A wEeK frOM friday	0
aTetmpts byyy this esNMebLe film to impart aaa message re sooo heavy-handed tht THEy instead PUMmel theee audienceee	0
no oe but a convt guilTY Of some trUlyyy heinous cIrmE should hve to ciT thrugh the masetr of diSgUIse	0
rarely hs so much money DElIvEerd so littLe entertainment	0
taylor appars to Have BloWn his ENtIre budget on soundtrak rigggGghTS andd HD nthng left oer for jokes	0
 the tme machine is a mOVIveEe thATt has n terstt In tselff	0
A rarity among ret irrRRaNiaN fiLMs ::::: itt's a cmedy fLl of getle humor that cHides dee absurdity offf its pragnist'sssss PLight	1
/ bt daphne, you're to buff / FrEd dinksssss he's tugh / nD vlma - wow, you've losttttttt weight!!	0
tHe vry defitinnn of the ` sll' mve, but it is a good sppng sTONe for drctor spercher	1
it'ss likEeEee eVry BdDdDDd idea thaT's ever ggone in2 an ftr-scol specIAl coMpileD in oNE place, minus thOse daytime pppPppRogrammMs' sLicKNesS and sophistication (and who new they even had anY?)	0
cHilliNg, well-acted, and finelyyyy direCted : davidd jacobson's DaEr	1
it ca nnn't decide if it wants to be a mystery/thirller, AA romance Or A comedY	0
pid in full is sOoooOooo stale, inNNn fact, that its mOst vibrANt scene is one thT uses clips from bRiAN de pamla's srface	0
a coda INN every sense, the PinOchet caSe splits time bwn a minutb-myt account of theE britisH court's extradition chess game and theeE rEgimeEEe'ssss talikn-hgead survivors	1
