,unnormalized,normalized
46,This builing gggggott tallerr and wwwwiderrr thann that one .,This building got taller and wider than that one.
47,TTThsisss building got taller nd taller .,This building got taller and taller.
48,Bill Flo8d into the cave .,Bill floated into the cave.
49,Bill floated down the river fr hurs .,Bill floated down the river for hours.
50,Bill floo8ed down the rivvver .,Bill floated down the river.
51,Bill pushed Hrry along the trail fooooorrrr hors .,Bill pushed Harry along the trail for hours.
52,Bill pushd Hry lng the tril .,Bill pushed Harry along the trail.
53,The road zigzagged downn the hll .,The road zigzagged down the hill.
54,Th rope stertched over thhe pulley .,The rope stretched over the pulley.
55,The wwightsssss streched the rppp over th pulley .,The weights stretched the rope over the pulley.
56,The weightsss kpt te rope stretched over the pulley .,The weights kept the rope stretched over the pulley.
57,SaM cut himself free .,Sam cut himself free.
58,Sm gt fre by cutting his finger .,Sam got free by cutting his finger.
59,Bll cried hmself tooo sleep .,Bill cried himself to sleep.
60,Bill squeezed himself ThgrhhHh th hole .,Bill squeezed himself through the hole.
61,Bill sang himeslf t sleep .,Bill sang himself to sleep.
62,Billl squeezed the puppet through de hle .,Bill squeezed the puppet through the hole.
63,Billl sang Sue to sleep .,Bill sang Sue to sleep.
64,"If thhhhh tlepon rang , it cold ringgg itself silly .","If the telephone rang, it could ring itself silly."
65,The tigr bled to death .,The tiger bled to death.
66,"He coughed wke and we wereeee allll overjoyed , especially cierrA .","He coughed awake and we were all overjoyed, especially Sierra."
67,"John coughed awak , rubbing his nose and crcing under his bReath .","John coughed awake, rubbing his nose and cursing under his breath."
68,John cughed himself wae n the bank of the lakeee where he andd Bll hd their play .,John coughed himself awake on the bank of the lake where he and Bill had their play.
69,Ron yawned himself awake .,Ron yawned himself awake.
70,SHe couhed hErself awke as the leaf landed onnnn her nose .,She coughed herself awake as the leaf landed on her nose.
71,The worm wriGgleD onto the carpet .,The worm wriggled onto the carpet.
72,The chocolate melted Onto th carpet .,The chocolate melted onto the carpet.
73,Bill wirggeld himself loose .,Bill wriggled himself loose.
74,Aliza wiggled HeR tooth los .,Aliza wriggled her tooth loose.
75,The ff center spinning flywheel shook itself loose .,The off center spinning flywheel shook itself loose.
76,"Th more you eat , the lsss you wnt .","The more you eat, the less you want."
77,"If you eat more , you wnt correspondingly less .","If you eat more, you want correspondingly less."
78,"When u eat more , you want coresrpondnigly less .","When you eat more, you want correspondingly less."
79,"As you t more , you want corresponddingly lss .","As you eat more, you want correspondingly less."
80,"The angrier Sue gets , thee more fred admIrEs her .","The angrier Sue gets, the more Fred admires her."
81,"The mrrrr thAt yoou eeeat , the less that you want .","The more that you eat, the less that you want."
82,"The angrier that Sue gets , th more that Fred admires her .","The angrier that Sue gets, the more that Fred admires her."
83,"I think thattt the more you eat , the less yoU want .","I think that the more you eat, the less you want."
84,"Im not shocked by the idea that th more you eattttt , the Lsss you want .","Im not shocked by the idea that the more you eat, the less you want."
85,"It is obvis that the more yo eatt , th less you wnt .","It is obvious that the more you eat, the less you want."
86,"It is not entirrely cllller iff the more you eat , th leSS youu wnt .","It is not entirely clear if the more you eat, the less you want."
87,"I want to explain exactly why dd more yu eat , the less you want .","I want to explain exactly why the more you eat, the less you want."
88,"I demand that the more John eats , the More hee pays .","I demand that the more John eats, the more he pays."
89,"I demand that John pay mre , theeeee more he eats .","I demand that John pay more, the more he eats."
90,"You get angrrierr , the Mre w eat , dont you .","You get angrier, the more we eat, dont you."
91,"The hardr tttt has raind , how much faster a flow appearrrsssss in de rier ?","The harder it has rained, how much faster a flow appears in the river?"
92,"Te harder it rins , how muchh faster do you run ?","The harder it rains, how much faster do you run?"
93,"The harer it rains , how muchh faster a flow do you see in the river ?","The harder it rains, how much faster a flow do you see in the river?"
94,"When ttttt rains harder , how much faster a flow apprs Iin the rver ?","When it rains harder, how much faster a flow appears in the river?"
95,"As t rains harder , how much faster a flow aprs inn the riverrr ?","As it rains harder, how much faster a flow appears in the river?"
96,"How much hrder has it rianed , deeee faster a flow you see in thh river ?","How much harder has it rained, the faster a flow you see in the river?"
97,"How much harder has ittt rainddd , when you see a fasterr flowww in the river ?","How much harder has it rained, when you see a faster flow in the river?"
98,"Whenn John eats more , keep your mouth shut tighter , OKK ?","When John eats more, keep your mouth shut tighter, OK?"
99,"As John eats moreee , keep yor muothhh shut tighter , OK ?","As John eats more, keep your mouth shut tighter, OK?"
100,"Keep your moth shut tghtier , tee moree John eats , OKKK ?","Keep your mouth shut tighter, the more John eats, OK?"
101,"Eveyonn keep your mouth shut tiGhterrRr , the more John eats , OK ?","Everyone keep your mouth shut tighter, the more John eats, OK?"
102,Bill can well imagine getting fat .,Bill can well imagine getting fat.
103,"Fred can well imagin JOe getting fatter , the more he eats .","Fred can well imagine Joe getting fatter, the more he eats."
104,"It is importannnt for you too be more careful , the mor yo eat .","It is important for you to be more careful, the more you eat."
105,"It is important to be more crful , the more you eat .","It is important to be more careful, the more you eat."
106,Mary listens tooo the Grateful Dd and shee gets depressed .,Mary listens to the Grateful Dead and she gets depressed.
107,"Ifff Mary listens ttoo the GrAteful Dead , she gets depressed .","If Mary listens to the Grateful Dead, she gets depressed."
108,"Whn Mry lstens to the Gratefulll Ded , she gets deRpessed .","When Mary listens to the Grateful Dead, she gets depressed."
109,mAry gets dressed if she listens to the Grateful Ded .,Mary gets depressed if she listens to the Grateful Dead.
110,Mary gets depressed when she listennns to the Grateful Dad .,Mary gets depressed when she listens to the Grateful Dead.
111,"The more she looked at piiiictures , Theee Angrier Mary got .","The more she looked at pictures, the angrier Mary got."
112,mary gets depressedd and she listens to the Graaatefull Dddd .,Mary gets depressed and she listens to the Grateful Dead.
113,"Theee higher de satkes are , theeeeee lower his expectations are .","The higher the stakes are, the lower his expectations are."
114,"The higher the stakes , the lower his expectations .","The higher the stakes, the lower his expectations."
115,"His expectaitons are lower , th higherrr the stakeesss .","His expectations are lower, the higher the stakes."
116,"His expeCttions are lower , the hgher the stakes aree .","His expectations are lower, the higher the stakes are."
117,"The moree obnoxious FreD is , thee less attention youuuuuu should py to him .","The more obnoxious Fred is, the less attention you should pay to him."
118,"The more Frd iS obnoxious , the less you should pay attention to him .","The more Fred is obnoxious, the less you should pay attention to him."
119,His expectationss are always lower thaan mne .,His expectations are always lower than mine.
120,John wass lots moree obnoxious than Fred was .,John was lots more obnoxious than Fred was.
121,"You should always lock your doOr , no matter how fancy the htel might be .","You should always lock your door, no matter how fancy the hotel might be."
122,"You should always lockk your door , no mtater how fancy the hotelllll .","You should always lock your door, no matter how fancy the hotel."
123,"I dont plan to lock de doorrrr , no matter hOw fancy this hotl s .","I dont plan to lock the door, no matter how fancy this hotel is."
124,"Im gong out , whatever tehee weather .","Im going out, whatever the weather."
125,"Im going t , wherever that hurrcan mighht be .","Im going out, wherever that hurricane might be."
126,The more exampless Mary saays that Bill has helped Fred to discover dee less I bbelievv her .,The more examples Mary says that Bill has helped Fred to discover the less I believe her.
127,The more carefully he WoRdss thee ltter the safrr hell be .,The more carefully he words the letter the safer hell be.
128,"The moreeeEeeee genisues Johnnn meets , the angrier he gets .","The more geniuses John meets, the angrier he gets."
129,"The more peopleee you say will buy tickts , theee happier Ill be .","The more people you say will buy tickets, the happier Ill be."
130,"The more pople you say that right after the showw opns willl buy tickts , the happier Ill b .","The more people you say that right after the show opens will buy tickets, the happier Ill be."
131,"The more I talk t Joe , the less aboutt linguistics I am inclined to think Sally has taught himmm To apprecate .","The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate."
132,"Th richer John getss , thhhh more geniuses John meets .","The richer John gets, the more geniuses John meets."
133,"The moree artiles heeee reads , theee fewer people he thinks will go into linguistics .","The more articles he reads, the fewer people he thinks will go into linguistics."
134,"The more articles he reads , the fewer people h thinks that udner thee currentt crcumstces wll go into linguistics .","The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics."
135,"Theee more artcles he reads , the fewer people he thinks underrrrrrrrrr thhe curernt circumstancess will go into linguistics .","The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics."
136,"The more people that arrve , the louder that it gets .","The more people that arrive, the louder that it gets."
137,"The more pepl tht arrive , de louder it getss .","The more people that arrive, the louder it gets."
138,"d more peoolpe yu give beer t , the more peOpl that get sickkk .","The more people you give beer to, the more people that get sick."
139,"The more people that you give beer 2 , th more peopl that get sick .","The more people that you give beer to, the more people that get sick."
140,"The more people arrve , tHe loduer that it gets .","The more people arrive, the louder that it gets."
141,"Th moe people arrive , thee loderr it gets .","The more people arrive, the louder it gets."
142,"the more people that yu give beerr to , the more people get sick .","The more people that you give beer to, the more people get sick."
143,The more pictres of himself thattttt John byss the more arogant he becmes .,The more pictures of himself that John buys the more arrogant he becomes.
144,Theee man that rrved on the train was my brother .,The man that arrived on the train was my brother.
145,"Whenver Bill smoks , SSSsan hates him all the mor .","Whenever Bill smokes, Susan hates him all the more."
146,"Whenever Bill SmoKes , Susan hatessss himmm much more .","Whenever Bill smokes, Susan hates him much more."
147,"Whenever Bill smokessss , Susan hates him far morE .","Whenever Bill smokes, Susan hates him far more."
148,"WheneveR Bill smokes , Susan hates him a lot morE .","Whenever Bill smokes, Susan hates him a lot more."
149,"Once Jnet lefttt , Fred became alll the crazier .","Once Janet left, Fred became all the crazier."
150,"Once Janettt lftt , Fred bcameee much crazier .","Once Janet left, Fred became much crazier."
151,"Once JaNet left , Fred bcamee far crzier .","Once Janet left, Fred became far crazier."
152,"Fred became llll the crazier , the more ofentnn Janet leftt .","Fred became all the crazier, the more often Janet left."
153,"When Bill smokes , all thee more does San hte hm .","When Bill smokes, all the more does Susan hate him."
154,Sooooo much did you eatt that verynn gaspedd .,So much did you eat that everyone gasped.
155,So fast did you run tat evryne gasped .,So fast did you run that everyone gasped.
156,So intelligent aa dog did you buy that everyone gasped .,So intelligent a dog did you buy that everyone gasped.
157,I nw how much you 8e .,I know how much you ate.
158,I knw howwwwww fast you ran .,I know how fast you ran.
159,I know how intelligent a dog you bought .,I know how intelligent a dog you bought.
160,HEe ate so mch that h got sick .,He ate so much that he got sick.
161,So mch did heee eat that he got sick .,So much did he eat that he got sick.
162,"The more y eat , the more you want .","The more you eat, the more you want."
163,III wonder Tt how many people Bill talks .,I wonder to how many people Bill talks.
164,"Th loongerr h hs 2 wait , the angrier John gets .","The longer he has to wait, the angrier John gets."
165,"If he has 2 wit , John gets angry .","If he has to wait, John gets angry."
166,"The more tat pictures offf him apper n the news , the more embarrassed John becomes .","The more that pictures of him appear in the news, the more embarrassed John becomes."
167,"The more pcturs off himself dat appear in the news , de more embarrassd John becomes .","The more pictures of himself that appear in the news, the more embarrassed John becomes."
168,"The more thattttt pictures of hmself appar in de news , the Mre embarrassed John beccoms .","The more that pictures of himself appear in the news, the more embarrassed John becomes."
169,"The more picctrsss of himmm appear in The news , the Mor likely John is to get arrested .","The more pictures of him appear in the news, the more likely John is to get arrested."
170,"The MRe that pictures of him appear in tHe nEws , the more likely John is to get rsteed .","The more that pictures of him appear in the news, the more likely John is to get arrested."
171,"The more that Jhn gts upset byyy them , the more that stories aboutt him seem to show up in de nnews .","The more that John gets upset by them, the more that stories about him seem to show up in the news."
172,"Jhn s me embarssed , the moreeee pictures of him appear in the news .","John is more embarrassed, the more pictures of him appear in the news."
173,"John is more embarrassed , the mre pctres of him that appear innn the news .","John is more embarrassed, the more pictures of him that appear in the news."
174,"Jhn is moR embarrassed , theeee more pictres of himself apper in the news .","John is more embarrassed, the more pictures of himself appear in the news."
175,"John is more emarrbassd , th more pictrs oF hiselff that appear In theee nws .","John is more embarrassed, the more pictures of himself that appear in the news."
176,"Stories abot him seem to show up more on the evening news , the moe that Jonhnnnn gets upset byy them .","Stories about him seem to show up more on the evening news, the more that John gets upset by them."
177,"If you give him enough opportunnty , every senator will succumb 2 corrupiton .","If you give him enough opportunity, every senator will succumb to corruption."
178,You gIve himm enogh opportunity and every senator will sccmb to corruption .,You give him enough opportunity and every senator will succumb to corruption.
179,"If you give ny snatr enough opprtounityy , he wil succumb too corruptionnn .","If you give any senator enough opportunity, he will succumb to corruption."
180,You give any senator nugh opportunity ad he will succumb to corruptionn .,You give any senator enough opportunity and he will succumb to corruption.
181,"de mre lobbysits h TalKs t , theeeeee more corrupt everyyyy senator semss to bcome .","The more lobbyists he talks to, the more corrupt every senator seems to become."
182,"ThEeee more lobbyists wine and dine him , th more every senator is susceppptiible to coruton .","The more lobbyists wine and dine him, the more every senator is susceptible to corruption."
183,"Every sentor becomes more crrut , the moreeee lobbyists he talks to .","Every senator becomes more corrupt, the more lobbyists he talks to."
184,"Any senator becoomes more corrpt , theee more lobbyists he tlks t .","Any senator becomes more corrupt, the more lobbyists he talks to."
185,"Every senator seems to become more corruptttt , if he talks to more lobbyists .","Every senator seems to become more corrupt, if he talks to more lobbyists."
186,"Any Senator seems to become more corrupt , if he talks to more lobbyists .","Any senator seems to become more corrupt, if he talks to more lobbyists."
187,"Any senator sms to become more corrupt , as hhh talks to mmmoreeee lobbyists .","Any senator seems to become more corrupt, as he talks to more lobbyists."
188,"The sooer y Slv thissss prblem , the more easily ull satisfy the folkks up 8 corpor8eee headquarters .","The sooner you solve this problem, the more easily youll satisfy the folks up at corporate headquarters."
189,This is the sort of prolbem which the soonr you solve the more easily youll staisfy th folks up at corporate headquartersss .,This is the sort of problem which the sooner you solve the more easily youll satisfy the folks up at corporate headquarters.
190,"The folks uppp at corporate headquarters are the sort of pple who the sooner you solve this problm , the more esily yull satisfy .","The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily youll satisfy."
191,"This problemm , the sooner yoou solve thHe mor easily yOulll satisfy the folkks up at corrate headquarterrs .","This problem, the sooner you solve the more easily youll satisfy the folks up at corporate headquarters."
192,Whooo did you give pictures of t friends of ?,Who did you give pictures of to friends of?
193,It s this problem that the sooner you solve the mor easily youll satisfy the folks up at corprat headqartes .,It is this problem that the sooner you solve the more easily youll satisfy the folks up at corporate headquarters.
194,"The harder that it rains , how much faster a flow doo y se in the rver ?","The harder that it rains, how much faster a flow do you see in the river?"
195,"They failed to tell me which prblem the sooNer I solve , the qiucker the folks up at corporate hheadqurters .","They failed to tell me which problem the sooner I solve, the quicker the folks up at corporate headquarters."
196,This is a probllemm that ull be able to tell the folks p at corporateee headquaterrs to buuzzzzz off iff you solv itt .,This is a problem that youll be able to tell the folks up at corporate headquarters to buzz off if you solve it.
197,John saw the man in the room .,John saw the man in the room.
198,Which rom did John see de Man in ?,Which room did John see the man in?
199,Whoo did John thnk that Bill calimed that Mary suspected that EveryboDy liked ?,Who did John think that Bill claimed that Mary suspected that everybody liked?
200,John could not visit Sally .,John could not visit Sally.
201,wh8 JOhn could do is nt vsit Sally .,What John could do is not visit Sally.
202,John couldnt vcit Sally .,John couldnt visit Sally.
203,Whyyy did Jhn leaveeeeee ?,Why did John leave?
204,I hit the ball .,I hit the ball.
205,You hit the ball .,You hit the ball.
206,dey hit the ball .,They hit the ball.
207,I am not going .,I am not going.
208,Arent I going ?,Arent I going?
209,"Lois is unhappy , isnt she ?","Louise is unhappy, isnt she?"
210,"Louise ls not being happy , ddoesntt she ?","Louise likes not being happy, doesnt she?"
211,"Nt many books survived thh fire , did dey ?","Not many books survived the fire, did they?"
212,"N boks survived thee fire , did thy ?","No books survived the fire, did they?"
213,"He hasnt often pid taxeS , has he ?","He hasnt often paid taxes, has he?"
214,"He caantt pay taxEs , cann He ?","He cant pay taxes, can he?"
215,Sh doessss not see him .,She does not see him.
216,Sheeee keptt not seeng him .,She kept not seeing him.
217,She could not have been working .,She could not have been working.
218,H could not have been workng .,He could not have been working.
219,He can not haveeeeee been working .,He cannot have been working.
220,H can smply not havee been working .,He can simply not have been working.
221,Yo must not smply not work .,You must not simply not work.
222,He may not just noT have been working .,He may not just not have been working.
223,He cant have been working .,He cant have been working.
224,Cant he have been working ?,Cant he have been working?
225,Cann he not have been working ?,Can he not have been working?
226,JOhN wrote books .,John wrote books.
227,John did not write books .,John did not write books.
228,"`` I am so happy , thought John .","`` I am so happy , thought John."
229,down the hill rolledddd John .,down the hill rolled John.
230,Johnnn often kisses Mary .,John often kisses Mary.
231,Who do you thnk Mary said John likes ?,Who do you think Mary said John likes?
232,Whooo doooooo you think dat Mary said that john likes ?,Who do you think that Mary said that John likes?
233,How do you think that MAry solved the problem ?,How do you think that Mary solved the problem?
234,How did you think thT Mary sovled the problem ?,How did you think that Mary solved the problem?
235,Mary hrd someone .,Mary hired someone.
236,I heardddd thatttt Mary hiredd someone .,I heard that Mary hired someone.
237,I resigned becuse Mary hired someone .,I resigned because Mary hired someone.
238,Mary wonderEd which pictur of himlf Bill saww ?,Mary wondered which picture of himself Bill saw?
239,Which picte of himself dOEs Mayy think that John said thattt Sun likes ?,Which picture of himself does Mary think that John said that Susan likes?
240,"Mary thinks tht John said that pictures of Himself , Susan Lkes ?","Mary thinks that John said that pictures of himself, Susan likes?"
241,"If you dont believe me , yu will the wethrman ?","If you dont believe me, you will the weatherman?"
242,"I rolled up a nwespaper , and Lynn ddidddd a magazine ?","I rolled up a newspaper, and Lynn did a magazine?"
243,"Kthy likes astronomy , but she dddoesssnt meteoroLogy ?","Kathy likes astronomy, but she doesnt meteorology?"
244,The DA proved JOneS guiltyyy and the Assistant DA will prove Smth .,The DA proved Jones guilty and the Assistant DA will prove Smith.
245,"MAry wll believe Susan , andd yoU willlllllll Bob .","Mary will believe Susan, and you will Bob."
246,You might not beleive me but you will Bob .,You might not believe me but you will Bob.
247,How dd you slve the prolebm ?,How did you solve the problem?
248,I woNDer who could solve the problem inN this way .,I wonder who could solve the problem in this way.
249,No candidate can predict how many peopleee will vote for him .,No candidate can predict how many people will vote for him.
250,Every politician is wOrRied when th press starts attAckiNg him .,Every politician is worried when the press starts attacking him.
251,Whih poilitcian appintd de journalist who supported him ?,Which politician appointed the journalist who supported him?
252,"Johnnnn sells bos , MarY buys rcrds and Bill V newspapers .","John sells books, Mary buys records and Bill V newspapers."
253,The qston of whether John meT Mary worries the peoplee whooo spprt .,The question of whether John met Mary worries the people who support.
254,They have left .,They have left.
255,Have they left ?,Have they left?
256,Could they hAve left ?,Could they have left?
257,He has often seen Maaryy .,He has often seen Mary.
258,H I often sees Maryy .,He I often sees Mary.
259,It sems tht it is likly that John willl winn .,It seems that it is likely that John will win.
260,It seems tht John is liekly to win .,It seems that John is likely to win.
261,JOHn seems to b likely to win .,John seems to be likely to win.
262,Howw intelligent do you consider Johnnn ?,How intelligent do you consider John?
263,Hee hs left .,He has left.
264,Hiiss book is nice .,His book is nice.
265,Bill saw him .,Bill saw him.
266,Bill works wid himm .,Bill works with him.
267,John believes him to be a nice guy .,John believes him to be a nice guy.
268,John considers him a nice guyy .,John considers him a nice guy.
269,For him t do that would b a mistake .,For him to do that would be a mistake.
270,"With him sickk , the team is nnn trouble .","With him sick, the team is in trouble."
271,John believes that he is sck .,John believes that he is sick.
272,Who do You thinkkk that Bill likes ?,Who do you think that Bill likes?
273,Whhhh do you think that Bill belves to be innocent ?,Who do you think that Bill believes to be innocent?
274,Someoneee stole my carrr .,Someone stole my car.
275,My cr was stolen .,My car was stolen.
276,John has ften kissed Maary .,John has often kissed Mary.
277,The kids have allll eaten tHe chocolate .,The kids have all eaten the chocolate.
278,"In geral , he underrtsandsss whats goooing on .","In general, he understands whats going on."
279,Its probable that iN genreal h nderstands whts going onnnnn .,Its probable that in general he understands whats going on.
280,I explained how to fixxxxxxx the sink .,I explained how to fix the sink.
281,I kspland how we sohuld fix thee sInk .,I explained how we should fix the sink.
282,I explained that we should fixx de sink .,I explained that we should fix the sink.
283,Mickey lookedd upp thheeee reference .,Mickey looked up the reference.
284,Mickey looked the reference up .,Mickey looked the reference up.
285,Mickeyyyyyy LOokd up them .,Mickey looked up them.
286,Micky teamed up wwwwith the wmen .,Mickey teamed up with the women.
287,miCkey pointEd ott that Gary had left .,Mickey pointed out that Gary had left.
288,Mickey slips up all the time .,Mickey slips up all the time.
289,What does John tthink Mary boghut ?,What does John think Mary bought?
290,John wonders what Mary bought .,John wonders what Mary bought.
291,Who bought wHat ?,Who bought what?
292,Whoooo iss reading a book d8 criticizEss wh ?,Who is reading a book that criticizes who?
293,Who remembersss wheR we bouhgt what ?,Who remembers where we bought what?
294,There arent many linguists students here .,There arent many linguistics students here.
295,I hvanet met many linguistics sTudents .,I havent met many linguistics students.
296,wh8 doess every student buy ?,What does every student buy?
297,I need Sally to be there .,I need Sally to be there.
298,The boat was sunk to collecct the insurance .,The boat was sunk to collect the insurance.
299,John wans to win .,John wants to win.
300,The bed was unmade .,The bed was unmade.
301,Jhn was unknown .,John was unknown.
302,we knnewww John to be thE murdeer .,We knew John to be the murderer.
303,Hee fed the childrnnnn .,He fed the children.
304,The chldren were uneducated .,The children were uneducated.
305,The children wre undisciplined .,The children were undisciplined.
306,I bellieved thee students lL to like John .,I believed these students all to like John.
307,Ty treD to all like John .,They tried to all like John.
308,I believed these students 2 l like John .,I believed these students to all like John.
309,Did youuuu believE him evr to haveeeeeee made ann fort tooooo talk to t student ?,Did you believe him ever to have made an effort to talk to the student?
310,Did he try tO ever b attentivee to theee neds of students ?,Did he try to ever be attentive to the needs of students?
311,Did you belve him to ever have made ann ef4t to tlk too the stduent ?,Did you believe him to ever have made an effort to talk to the student?
312,work out an analycis that iss typcl of this view of understood subjects .,work out an analysis that is typical of this view of understood subjects.
313,They were believed all to bee quite diligent .,They were believed all to be quite diligent.
314,Was he believed ever t fail students ?,Was he believed ever to fail students?
315,THeRe is tending to b more and moreee disssscussionn of these issues .,There is tending to be more and more discussion of these issues.
316,John seemed to b aa grt linguist .,John seemed to be a great linguist.
317,There promises to be a storm tonight .,There promises to be a storm tonight.
318,JohnN strived to be successful .,John strived to be successful.
319,Jhn wantedd too improve his lOt in life .,John wanted to improve his lot in life.
320,John expected to win .,John expected to win.
321,THisS book issssss too dense to be read in oone sittng .,This book is too dense to be read in one sitting.
322,John tired .,John tried.
323,John remembered .,John remembered.
324,Jhnn s rfusd .,John is refused.
325,John forgot .,John forgot.
326,Thhhhhey semed all to like John .,They seemed all to like John.
327,Jnnn belves Sallyy to be polite .,John believes Sally to be polite.
328,I believe John with alL my herat to be a fn PerSon .,I believe John with all my heart to be a fine person.
329,We wold lik John to win .,We would like John to win.
330,We would prefer Jhn to be the candidate .,We would prefer John to be the candidate.
331,I would likeee for John t win .,I would like for John to win.
332,I would hate forr John 222 win .,I would hate for John to win.
333,I would prefer for Johnnnnnn to b the candidate .,I would prefer for John to be the candidate.
334,John destroyed the house .,John destroyed the house.
335,The electrod emitted iOns into theee medium .,The electrode emitted ions into the medium.
336,Ins struck th electrode .,Ions struck the electrode.
337,The medium contains inss .,The medium contains ions.
338,InS left the electrode .,Ions left the electrode.
339,TThe electrode was struck by ions .,The electrode was struck by ions.
340,The ball lies in the box .,The ball lies in the box.
341,Tee balll rolled from dee bush to the tree .,The ball rolled from the bush to the tree.
342,Thee box contains THe ball .,The box contains the ball.
343,The tree dropped fruit to the ground .,The tree dropped fruit to the ground.
344,fruiT hiiit the ground frommmmm th tree .,Fruit hit the ground from the tree.
345,The ston knocked ganst the pole into the road .,The stone knocked against the pole into the road.
346,The s2ne knoccckedd the pole into the road .,The stone knocked the pole into the road.
347,The box contained the balll .,The box contained the ball.
348,The tree graduaLlyyy dropped its fruit to thee ground .,The tree gradually dropped its fruit to the ground.
349,The tree dropped ts fruit to thee ground .,The tree dropped its fruit to the ground.
350,Fruit hit the roof .,Fruit hit the roof.
351,Fruit ht theeee roof from th treee .,Fruit hit the roof from the tree.
352,Ft at once hit the roof from the tree .,Fruit at once hit the roof from the tree.
353,Frut droppd from de tree .,Fruit dropped from the tree.
354,Th treeee chnged inttto an oak .,The tree changed into an oak.
355,The tree changeddddd from a mple into an oakk .,The tree changed from a maple into an oak.
356,The maple changed int N oak frommmmmmm a cedar .,The maple changed into an oak from a cedar.
357,TTTThe maple changed into an k .,The maple changed into an oak.
358,The oak developed out Of aaaaaaa maple .,The oak developed out of a maple.
359,the train reached th station .,The train reached the station.
360,The brancehs knocked aGainst the wall .,The branches knocked against the wall.
361,The child became a man .,The child became a man.
362,The party lasted till midnight .,The party lasted till midnight.
363,The doggg went crazy .,The dog went crazy.
364,Itt sTruck JohnnnNn that it was so .,It struck John that it was so.
365,It came to John that it waS so .,It came to John that it was so.
366,The snake saw into the nest .,The snake saw into the nest.
367,Hard work resulted in highh grades .,Hard work resulted in high grades.
368,The frm passd to John .,The farm passed to John.
369,Johnn is 2ching the wll .,John is touching the wall.
370,The wallll is being touched by John .,The wall is being touched by John.
371,A bear occuupIess tee cave .,A bear occupies the cave.
372,A bar inhabtis tttthe cav .,A bear inhabits the cave.
373,Water fills the tub .,Water fills the tub.
374,The elctirc main joins the house circuit in the basement .,The electric main joins the house circuit in the basement.
375,The house crcit issss joined by the electric min innnnn the basement .,The house circuit is joined by the electric main in the basement.
376,The fenCe straddles the cidewalk .,The fence straddles the sidewalk.
